Fixed effects,Estimate (SE),t (df),p value,95% confidence interval
Intercept,1.238 (0.033),37.22 (216),<.001,"[1.173,1.304]"
MATHINT,0.143 (0.01),13.8 (4825),<.001,"[0.123,0.164]"
MATHUTIL,0.111 (0.011),10.13 (225),<.001,"[0.09,0.133]"
MATHCONF,0.126 (0.013),9.56 (167),<.001,"[0.1,0.152]"
